REVIEW_ID,PRODUCT_ID,CUSTOMER_ID,REVIEW_TEXT,RATING,REVIEW_DATE,PURCHASE_DATE,VERIFIED_PURCHASE,HELPFUL_VOTES
REV-000001,PROD-00046,CUST-00156,I'm disappointed with the NaturalEssence Standard Makeup due to packaging problems.,2,2022-04-12,2022-03-22,true,1
REV-000002,PROD-00018,CUST-00789,Absolutely love this DigitalDream Tablets Ultra Alpha8. Best purchase I've made this year.,5,2023-03-09,2023-02-28,true,2
REV-000003,PROD-00039,CUST-00131,Very satisfied with my BrightMinds Deluxe Outdoor purchase. Would buy again!,5,2023-12-05,2023-11-07,true,11
REV-000004,PROD-00134,CUST-00866,I love my new ElectroMax Cameras Pro Prime14! It works perfectly and exceeded my expectations.,5,2022-09-22,2022-09-11,true,10
REV-000005,PROD-00105,CUST-00055,Great product! The GlowUp Deluxe Oral Care arrived on time and works as advertised.,5,2023-12-31,2023-12-23,true,5
REV-000006,PROD-00065,CUST-00605,The sizing chart for this ComfortBlend Athletic Men's is completely off.,2,2023-12-21,2023-11-27,true,3
REV-000007,PROD-00116,CUST-00722,I'm disappointed with the FunFactory Deluxe Outdoor due to durability issues.,2,2023-07-20,2023-06-28,true,0
REV-000008,PROD-00036,CUST-00583,I can't recommend the FunFactory Professional Outdoor because of safety concerns.,2,2023-05-11,2023-05-05,true,5
REV-000009,PROD-00200,CUST-00448,I've been using the UrbanThreads Relaxed Children's for a month now and it's fantastic.,4,2023-09-05,2023-09-04,true,10
REV-000010,PROD-00065,CUST-00450,This ComfortBlend Athletic Men's is worth every penny. Excellent quality and performance.,5,2023-09-24,2023-08-28,true,14
REV-000011,PROD-00173,CUST-00675,This LuxeBeauty Standard Oral Care is worth every penny. Excellent quality and performance.,5,2022-05-23,2022-05-06,true,6
REV-000012,PROD-00091,CUST-00867,I can't recommend the PlayMaster Deluxe Board Games because of missing parts.,3,2023-07-09,2023-06-24,true,1
REV-000013,PROD-00174,CUST-00998,The GlowUp Essential Skincare is exactly what I was looking for. Perfect for my needs.,4,2023-04-07,2023-03-12,false,15
REV-000014,PROD-00146,CUST-00172,The durability issues of this BrightMinds Standard Board Games is a major issue.,2,2023-12-12,2023-11-22,true,2
REV-000015,PROD-00176,CUST-00234,I'm disappointed with the BeautyBlend Deluxe Haircare due to allergic reactions.,2,2023-06-18,2023-06-17,false,4
REV-000016,PROD-00088,CUST-00641,Great product! The PureGlow Standard Oral Care arrived on time and works as advertised.,4,2023-08-25,2023-08-15,true,10
REV-000017,PROD-00135,CUST-00748,Great product! The CookCraft Professional Toasters arrived on time and works as advertised.,5,2023-12-31,2023-12-30,true,15
REV-000018,PROD-00070,CUST-00984,Very satisfied with my FashionFusion Slim Accessories purchase. Would buy again!,4,2023-10-18,2023-09-19,true,0
REV-000019,PROD-00076,CUST-00934,I'm disappointed with the BeautyBlend Essential Makeup due to packaging problems.,4,2023-12-19,2023-12-04,true,12
REV-000020,PROD-00054,CUST-00856,The CulinaryTech Professional Coffee Makers has serious difficult cleaning.,2,2023-10-06,2023-09-19,true,0
