PRODUCT_ID,PRODUCT_NAME,CATEGORY,SUBCATEGORY,MANUFACTURER,PRICE,RELEASE_DATE,REVIEW_COUNT
PROD-00001,ImagineIt Essential Action Figures,Toys,Action Figures,ImagineIt,27.17,2023-09-22,30
PROD-00002,KidWonders Standard Board Games,Toys,Board Games,KidWonders,14.05,2023-12-11,23
PROD-00003,StyleWave Modern Men's,Clothing,Men's,StyleWave,33.96,2023-12-17,24
PROD-00004,GlowUp Essential Haircare,Beauty Products,Haircare,GlowUp,32.38,2022-07-20,20
PROD-00005,HomeHelper Professional Mixers,Kitchen Appliances,Mixers,HomeHelper,243.13,2022-03-05,28
PROD-00006,CookCraft Essential Coffee Makers,Kitchen Appliances,Coffee Makers,CookCraft,159.45,2022-04-04,28
PROD-00007,GlowUp Advanced Skincare,Beauty Products,Skincare,GlowUp,18.94,2023-02-04,23
PROD-00008,BeautyBlend Essential Fragrances,Beauty Products,Fragrances,BeautyBlend,38.68,2023-06-12,25
PROD-00009,BrightMinds Advanced Educational,Toys,Educational,BrightMinds,28.20,2022-09-29,29
PROD-00010,HomeHelper Standard Toasters,Kitchen Appliances,Toasters,HomeHelper,155.63,2023-03-06,22
PROD-00011,PureGlow Deluxe Oral Care,Beauty Products,Oral Care,PureGlow,69.53,2023-01-19,21
PROD-00012,LuxeBeauty Deluxe Haircare,Beauty Products,Haircare,LuxeBeauty,27.27,2022-11-03,31
PROD-00013,HomeHelper Standard Toasters,Kitchen Appliances,Toasters,HomeHelper,314.10,2023-07-18,28
PROD-00014,KidWonders Standard Building Sets,Toys,Building Sets,KidWonders,52.51,2022-12-28,23
PROD-00015,BrightMinds Essential Board Games,Toys,Board Games,BrightMinds,37.07,2022-04-29,19
PROD-00016,FunFactory Deluxe Outdoor,Toys,Outdoor,FunFactory,48.46,2023-09-07,21
PROD-00017,CulinaryTech Standard Toasters,Kitchen Appliances,Toasters,CulinaryTech,177.97,2023-12-20,28
PROD-00018,DigitalDream Tablets Ultra Alpha8,Electronics,Tablets,DigitalDream,994.63,2022-06-08,18
PROD-00019,ChefChoice Essential Air Fryers,Kitchen Appliances,Air Fryers,ChefChoice,102.51,2023-05-16,26
PROD-00020,PlayMaster Deluxe Board Games,Toys,Board Games,PlayMaster,24.45,2022-02-09,26
PROD-00021,FashionFusion Relaxed Women's,Clothing,Women's,FashionFusion,34.14,2022-11-08,34
