IMPRESSION_REVIEW,CUSTOMER_ID,IP_ADDRESS,EVENT_TIMESTAMP,IMAGE_TYPE,IMPRESSION_ID
"The ad was pretty good, gave me a sense of what Peaks Coffee is all about.",CUST_9024,81.204.176.39,2025-05-31 00:00:00.000,product-shot,6
"Cool ad, makes me wanna wake up early and hike with a cup of Peaks Coffee.",CUST_1074,115.128.244.236,2025-05-31 00:08:00.000,text-heavy,33
"Just saw the Peaks Coffee ad on my feed, loved the Trailblazer Medium shoutout! Definitely trying it out.",CUST_5688,13.54.69.47,2025-05-31 01:11:00.000,text-heavy,134
"The ad was pretty good, gave me a sense of what Peaks Coffee is all about.",CUST_9024,205.120.204.74,2025-05-31 01:14:00.000,text-heavy,154
"Loved the Instagram story, finally know what Trailblazer Medium is all about!",CUST_9737,120.222.203.159,2025-05-31 01:14:00.000,promotional,169
"Tried the coffee after seeing the ad, not bad but the delivery was quite slow.",CUST_1107,39.98.56.177,2025-05-31 06:15:00.000,product-shot,745
"Loved the energy in the social media post, really got me pumped for my morning brew!",CUST_7892,67.163.63.199,2025-05-31 06:15:00.000,text-heavy,749
"The ad was pretty good, gave me a sense of what Peaks Coffee is all about.",CUST_9024,112.80.130.86,2025-05-31 08:38:00.000,text-heavy,1095
"The campaign is alright, but I wish they'd bring back the old blend.",CUST_8541,126.44.93.243,2025-05-31 08:54:00.000,product-shot,1128
"Not a fan of the new ad, but the coffee is still amazing as always.",CUST_8788,197.74.49.215,2025-05-31 13:32:00.000,promotional,1558
"Not sure about the product quality though, hope it's as good as the ad.",CUST_1738,39.56.15.250,2025-05-31 13:46:00.000,product-shot,1581
"Loved the visuals in the Peaks Coffee ad, really made me wanna hit the trails!",CUST_9497,57.68.219.85,2025-05-31 14:13:00.000,text-heavy,1650
"Cool ad, makes me wanna wake up early and hike with a cup of Peaks Coffee.",CUST_1074,114.119.66.56,2025-05-31 16:16:00.000,product-shot,1892
"The packaging is super clear now, thanks for the heads up!",CUST_4183,12.98.75.176,2025-05-31 16:41:00.000,text-heavy,1939
"Just saw the Peaks Coffee ad on my feed, loved the Trailblazer Medium shoutout! Definitely trying it out.",CUST_5688,146.50.126.241,2025-05-31 17:07:00.000,text-heavy,2006
"The 'Fuel Your Rise' slogan is so motivating, makes me want to conquer the day!",CUST_3683,16.147.172.97,2025-05-31 18:34:00.000,text-heavy,2143
"The 'Fuel Your Rise' slogan is pretty catchy, makes me wanna try it.",CUST_9538,19.73.106.175,2025-05-31 18:56:00.000,text-heavy,2201
"Not bad for the price, the ad caught my eye.",CUST_7645,204.72.205.83,2025-05-31 19:18:00.000,lifestyle,2235
"I saw the banner for the Trailblazer Medium and it totally caught my eye, great job!",CUST_8444,32.119.193.129,2025-05-31 22:35:00.000,product-shot,2583
"Fuel Your Rise' is such a cool slogan, makes me wanna conquer the world lol.",CUST_8273,239.86.90.216,2025-05-31 22:55:00.000,product-shot,2636
"Not usually into coffee ads, but this one's different. Might actually pick up a bag of Trailblazer Medium.",CUST_5255,168.108.113.191,2025-06-01 00:19:00.000,text-heavy,2763
"Great campaign, makes me want to try all the flavors!",CUST_11,126.101.170.152,2025-06-01 02:38:00.000,product-shot,3029
"The website was super easy to navigate, found my favorite blend in no time.",CUST_440,133.14.208.124,2025-06-01 02:40:00.000,text-heavy,3033
"The packaging is pretty good, but I wish the coffee was a bit stronger.",CUST_7406,77.173.100.219,2025-06-01 04:10:00.000,promotional,3211
"The ad I saw on social media was cool, made me check out their products.",CUST_4021,126.221.213.3,2025-06-01 04:46:00.000,lifestyle,3294
"The ad made me wanna try Peaks Coffee, hope it tastes as good as it looks!",CUST_797,113.32.204.20,2025-06-01 05:42:00.000,text-heavy,3409
"Not a fan of the new ad, but the coffee is still amazing as always.",CUST_8788,206.49.196.11,2025-06-01 07:37:00.000,promotional,3607
"Peaks Coffee ads are everywhere, and they're doing a great job with the 'Fuel Your Rise' theme.",CUST_7459,230.110.58.32,2025-06-01 08:14:00.000,text-heavy,3677
"Saw the banner for Peaks Coffee and it was super catchy, definitely stuck in my head!",CUST_8625,166.81.146.39,2025-06-01 10:38:00.000,product-shot,3924
"Really dig the 'Fuel Your Rise' vibe, feels so motivating!",CUST_4406,189.133.83.219,2025-06-01 11:07:00.000,product-shot,3993
"Really dig the 'Fuel Your Rise' vibe, feels so motivating!",CUST_4406,170.15.33.240,2025-06-01 13:11:00.000,product-shot,4210
"The ad made me want to try it, but I wish there were more flavor options shown.",CUST_3862,220.126.142.168,2025-06-01 13:11:00.000,promotional,4214
"Not usually into coffee ads, but this one's different. Might actually pick up a bag of Trailblazer Medium.",CUST_5255,41.80.208.219,2025-06-01 14:57:00.000,lifestyle,4398
The 'Fuel Your Rise' slogan is kinda cheesy but I like the coffee.,CUST_6079,28.34.11.140,2025-06-01 19:45:00.000,lifestyle,5044
The 'Fuel Your Rise' slogan is kinda cheesy but I like the coffee.,CUST_6079,145.238.121.198,2025-06-01 20:36:00.000,text-heavy,5088
"Not usually into coffee ads, but this one's different. Might actually pick up a bag of Trailblazer Medium.",CUST_5255,218.221.250.175,2025-06-01 22:21:00.000,promotional,5287
"Not sure about the product quality though, hope it's as good as the ad.",CUST_1738,151.90.158.91,2025-06-01 22:57:00.000,text-heavy,5345
"The ad made me want to try it, but I wish there were more flavor options shown.",CUST_3862,85.162.215.207,2025-06-02 01:16:00.000,product-shot,5601
"Loved the Instagram story, finally know what Trailblazer Medium is all about!",CUST_9737,67.154.230.203,2025-06-02 03:36:00.000,lifestyle,5923
"Saw the banner for Summit Select yesterday, looked really cool!",CUST_3079,48.13.63.129,2025-06-02 04:54:00.000,product-shot,6049
"The packaging is super clear now, thanks for the heads up!",CUST_4183,213.9.137.239,2025-06-02 05:04:00.000,text-heavy,6074
"I've seen better ads, but this one got me to try the coffee so job done I guess.",CUST_7601,231.216.183.146,2025-06-02 05:18:00.000,promotional,6101
"Saw the ad, can't wait to try the new blend!",CUST_915,165.153.147.249,2025-06-02 05:25:00.000,text-heavy,6118
