Order ID,Customer ID,Product ID,Product Name,Quantity Ordered,Price,Total Price,Date
1001,123,456,Alpine Skis,1,$499.99,$499.99,2023-10-15
1002,456,789,Thermal Gloves,2,$59.99,$119.98,2023-10-16
1003,789,101,Carbon Fiber Poles,1,$89.99,$89.99,2023-10-17
1004,101,112,Ski Goggles,1,$129.99,$129.99,2023-10-18
1005,112,131,Insulated Jacket,1,$199.99,$199.99,2023-10-19
1006,234,567,Performance Racing Skis,1,$799.99,$799.99,2023-10-20
1007,345,678,Pro Ski Boots,1,$449.99,$449.99,2023-10-21
1008,456,789,Mountain Series Helmet,2,$179.99,$359.98,2023-10-22
1009,567,890,Alpine Base Layer,3,$89.99,$269.97,2023-10-23
1010,678,901,Avalanche Safety Pack,1,$699.99,$699.99,2023-10-24
1011,789,912,Performance Racing Skis,1,$799.99,$799.99,2023-10-25
1012,890,923,Pro Ski Boots,1,$449.99,$449.99,2023-10-25
1013,901,934,Alpine Skis,1,$499.99,$499.99,2023-10-26
1014,912,945,Thermal Gloves,2,$59.99,$119.98,2023-10-27
1015,923,956,Carbon Fiber Poles,2,$89.99,$179.98,2023-10-28
1016,934,967,Ski Goggles,1,$129.99,$129.99,2023-10-29
1017,945,978,Mountain Series Helmet,1,$179.99,$179.99,2023-10-30
1018,956,989,Alpine Base Layer,2,$89.99,$179.98,2023-10-31
1019,967,990,Avalanche Safety Pack,1,$699.99,$699.99,2023-11-01
1020,978,991,Performance Racing Skis,1,$799.99,$799.99,2023-11-02
1021,989,992,Pro Ski Boots,1,$449.99,$449.99,2023-11-03
1022,990,993,Insulated Jacket,2,$199.99,$399.98,2023-11-04
1023,991,994,Alpine Skis,1,$499.99,$499.99,2023-11-05
1024,992,995,Mountain Series Helmet,1,$179.99,$179.99,2023-11-06
1025,993,996,Thermal Gloves,3,$59.99,$179.97,2023-11-07
